"","FEEDER_NAM","GRIDID","KE_IBC","KE_REGION","received","billed","com","res","ind","tot","losses","comRel","resRel","indRel"
"23","Abid Industry","41","SITE",0,4355060.95,4276441.7685,35,15,23,74,0.0180523722635845,0.472972972972973,0.202702702702703,0.310810810810811
"24","Abid Plaza","12","Gulshan-e-Iqbal",3,8268394.2,7105274.97567646,397,1112,2,1512,0.140670509435017,0.262566137566138,0.735449735449735,0.00132275132275132
"25","Abidabad","40","Orangi-I",0,19094116.6,9635202.878,506,4908,8,5423,0.495383678656283,0.0933062880324544,0.905034113959063,0.00147519822976212
"26","Achanak Hotel","31","Surjani",3,3913191.2,2411324.7995,271,2389,8,2669,0.383795813631595,0.101536155863619,0.895091794679655,0.00299737729486699
"27","ACIL","43","Orangi-I",0,14718699.6,4715175.708,217,2965,7,3190,0.679647262588334,0.068025078369906,0.929467084639498,0.00219435736677116
"28","ACME Feeder","30","SITE",0,12694250.18,12054550.683,31.5,0,25.5,58,0.05039285408191,0.543103448275862,0,0.439655172413793
"29","Adam Hangoro","74","Malir",2,11734148,7763007.17813072,239,1917,8,2165,0.338426004331059,0.110392609699769,0.885450346420323,0.00369515011547344
"30","Adamjee Science College","14","Garden",5,12781678.4,12287965.7133588,237,2283,1,2522,0.0386265927830908,0.0939730372720063,0.905233941316416,0.000396510705789056
"31","Admission Block","77","Johar-II",2,2320091.2,2246493.21256536,0,0,0,1,0.0317220234422858,0,0,0
"32","Afghan Basti","22","Johar-II",2,4997423.2,1287947.31513072,5,105,0,111,0.742277717218202,0.045045045045045,0.945945945945946,0
"33","Afnan Duplex",NA,"Johar-I",2,9211199.2,5337980.16713072,472,2470,0,2943,0.420490204236304,0.160380564050289,0.839279646619096,0
"34","Afridi Colony Feeder","9","Baldia",0,12974077.6,7848855.00148686,421,2943,22,3387,0.395035605345319,0.124298789489224,0.868910540301151,0.00649542367877177
"35","Aftab Flour","26","Bin Qasim",2,2672794.07,1355980.88645436,0,0,0,1,0.492672891759909,0,0,0
"36","Afzal Motors","37","Bin Qasim",2,18594160.8,5176909.98813072,682,1971,14,2668,0.721584101384628,0.255622188905547,0.738755622188906,0.00524737631184408
"37","Afzal RMU","16","Shah Faisal",2,10405768.44,7612249.01213072,302,1438,6,1747,0.268458734592914,0.172867773325701,0.823125357756153,0.00343445907269605
"38","Agha Khan Park","4","Clifton",4,10509862,10007595.992,642,925,2,1570,0.0477899717427307,0.408917197452229,0.589171974522293,0.00127388535031847
"39","Agha Khan Trust","17","Johar-II",2,12119272,9706339.58656536,633,2561,3,3198,0.199098791860983,0.197936210131332,0.800813008130081,0.000938086303939962
"40","Agha Shahi","13","Gadap",2,10652264.02,4216266.42736392,178,445,5,629,0.604190581509458,0.282988871224165,0.707472178060413,0.00794912559618442
"41","Agility","37","Bin Qasim",2,2238724.4,2636639.42513072,1,0,1,3,-0.177741853856919,0.333333333333333,0,0.333333333333333
"42","Agro Process","40","SITE",0,11265034.65,10796757.226,27,0,20,48,0.0415691064030594,0.5625,0,0.416666666666667
"43","Ahmed Industry","40","SITE",0,11068031.9,10295280.315,45,1,38,85,0.0698183373504734,0.529411764705882,0.0117647058823529,0.447058823529412
"44","Ahmed Investment","24","KIMZ",2,13055423.6,11430231.0255654,114,905,15,1035,0.12448409367848,0.110144927536232,0.8743961352657,0.0144927536231884
"45","Ahsanabad Phase-IV","67","Gadap",2,7756770,3657582.14018195,231,1144,0,1376,0.528465825313636,0.167877906976744,0.831395348837209,0
"46","Air Shipshed","16","Shah Faisal",2,5285098.9,6590832.70306536,2,0,0,3,-0.247059483232255,0.666666666666667,0,0
"47","Airport Telephone Exchange","16","Shah Faisal",2,1494618.6,1317622.42913072,3,102,0,106,0.11842229908639,0.0283018867924528,0.962264150943396,0
"48","Aisha Manzil (Old Meena)","12","F.B Area",3,9312121.28,7788881.11118867,311,1507,8,1827,0.16357606639884,0.170224411603722,0.824849480021894,0.00437876299945265
"49","Aiwan-e-Saddar RMU","11","Saddar",4,4590356.32,5416421.792,7,3,0,11,-0.17995672109393,0.636363636363636,0.272727272727273,0
"50","Akhtar Colony","50","Defence",4,19283558.8,16413395.9833075,0,0,0,1,0.14883989239022,0,0,0
"51","Al-Ahmed Avenue","31","Surjani",3,4695829.6,2857247.667,370,2749,1,3121,0.391535061877032,0.118551746235181,0.880807433514899,0.000320410124959949
"52","Al-Asif Square","48","Gadap",2,6581085.4,3964943.17136392,604,1841,0,2446,0.397524430945096,0.24693376941946,0.752657399836468,0
"53","Al-Ather","40","SITE",0,8617551.7,8638042.29,53,1,44,99,-0.00237777395637787,0.535353535353535,0.0101010101010101,0.444444444444444
"54","Al-Ayesha","1","Clifton",4,9392600.8,8371235.141,124,364,0,489,0.108741516939589,0.253578732106339,0.744376278118609,0
"55","Al-Azhar Garden","22","Johar-II",2,483018.8,89128.0621307176,109,1080,1,1191,0.815477032921456,0.09151973131822,0.906801007556675,0.000839630562552477
"56","Al-Azmat","18","Gulshan-e-Iqbal",3,12361047.6,11632971.2135782,594,1655,0,2250,0.0589008642294889,0.264,0.735555555555556,0
"57","Al-Burhan","32","North Nazimabad",3,12141184,9473580.24803008,277,1846,3,2127,0.219715289050056,0.130230371415139,0.867889045604137,0.00141043723554302
"58","Al-Burj","3","Defence",4,2733927.81176471,2518632,230,193,0,424,0.0787496329779593,0.542452830188679,0.455188679245283,0
"59","Al-Falah Bank","31","North Karachi",3,15274405.0496383,15022512.906,39,153,76,269,0.0164911263528562,0.144981412639405,0.568773234200744,0.282527881040892
"60","Al-Fateh Colony","34","Orangi-I",0,17822672.7,9418054.355,640,3249,25,3915,0.47156891036887,0.163473818646232,0.829885057471264,0.00638569604086846
"61","Al-Ghori","31","Surjani",3,17236777.8,13677431.804,711,3399,3,4114,0.206497179304591,0.172824501701507,0.82620320855615,0.000729217306757414
"62","Al-Hira Masjid","31","North Karachi",3,9945728.76669413,6929985.6905,126,2080,1,2208,0.303219919518933,0.0570652173913043,0.942028985507246,0.000452898550724638
"63","Al-Hira Pumping","34","Orangi-II",0,11779649.2,7558539.41390338,356,3528,14,3899,0.358339175847157,0.0913054629392152,0.904847396768402,0.00359066427289048
"64","Al-Karam","27","Liaquatabad",3,11614573.4,6217519.695,1820,1101,2,2924,0.464679460805681,0.622435020519836,0.376538987688099,0.000683994528043776
"65","Al-Madina Godhra Colony","12","North Karachi",3,17538954.099647,9866393.53,821,1314,39,2175,0.437458272942367,0.377471264367816,0.604137931034483,0.0179310344827586
"66","Al-Maroof Sweet","41","Nazimabad",3,14941671.8,9736677.30091237,560,1847,22,2430,0.34835422493269,0.230452674897119,0.760082304526749,0.00905349794238683
"67","Al-Mumtaz","43","Orangi-I",0,89993.2,83000.9157122316,253,396,10,660,0.0776979181512429,0.383333333333333,0.6,0.0151515151515152
"68","Al-Murtaza","27","Nazimabad",3,24693944,17822493.45635,769,4122,71,4963,0.278264603809338,0.154946604876083,0.830546040701189,0.0143058633890792
"69","Al-Najeeb","18","Gulshan-e-Iqbal",3,9421890.68,8874644.34607551,640,1770,1,2412,0.0580824329755958,0.265339966832504,0.733830845771144,0.000414593698175788
"70","Al-Nazar","76","Garden",5,7964774.4,6797165,31,1249,1,1282,0.146596669454944,0.0241809672386895,0.974258970358814,0.00078003120124805
"71","Al-Noor Society","12","North Nazimabad",3,13995846.80164,10428689.6533164,385,2570,28,2984,0.254872548898265,0.12902144772118,0.861260053619303,0.00938337801608579
"72","Al-Shifa","34","Orangi-II",0,20812483.6,14934793.4401541,734,2292,201,3228,0.282411761748889,0.227385377942999,0.71003717472119,0.0622676579925651
"73","Al-Syed Center","26","Bin Qasim",2,9829096.4,4914000.30113072,695,2283,10,2989,0.500055742547126,0.232519237203078,0.763800602208096,0.00334560053529609
"74","Al-Wajid Town","40","Orangi-I",0,10913240.1,5134186,371,1620,19,2011,0.529545217281529,0.184485330681253,0.805569368473396,0.00944803580308304
"75","Al-Watan",NA,"Surjani",3,17507036.8,10152456.359,624,2816,2,3443,0.420092818962945,0.181237293058379,0.817891373801917,0.000580888759802498
"76","Al Ajaz + Cap","34","Orangi-II",0,11777004,8065060.53230748,1195,1657,309,3162,0.315185718514872,0.377925363693865,0.524035420619861,0.0977229601518027
"77","Al Atta Textile","21","Bin Qasim",2,5082688.72,6871488.42513072,2,0,6,9,-0.351939653139081,0.222222222222222,0,0.666666666666667
"78","Al Fawad Medical RMU","9","Baldia",0,1608327.6,1199409.41536543,320,1509,10,1840,0.254250554821401,0.173913043478261,0.820108695652174,0.00543478260869565
"79","Alamgir","41","SITE",0,8116710.8,14368643.43,125,486,0,612,-0.770254452086675,0.204248366013072,0.794117647058823,0
"80","Ali  Ice","24","Korangi",2,12991966.2,6967917.86328246,699,1245,350,2295,0.463674877534514,0.304575163398693,0.542483660130719,0.152505446623094
"81","Ali Akber Shah RMU","66","Korangi",2,18790974.4,12987264.8852214,370,5187,49,5607,0.308856230189881,0.0659889423934368,0.925093632958802,0.00873907615480649
"82","Ali Doulat","32","North Nazimabad",3,17634608,14354094.1485411,1179,2751,6,3937,0.186027035670931,0.299466598933198,0.698755397510795,0.0015240030480061
"83","Ali Ghar Bazar","32","Orangi-I",0,9101932.5,3697236.5,810,494,25,1330,0.593796537163948,0.609022556390977,0.371428571428571,0.018796992481203
"84","Ali Gohar","40","SITE",0,11068031.9,10295280.315,15,0,10,26,0.0698183373504734,0.576923076923077,0,0.384615384615385
"85","Ali Square","75","Liaquatabad",3,21959625.6,19346842.1430971,935,2334,6,3276,0.118981238774078,0.285409035409035,0.712454212454212,0.00183150183150183
"86","Alif Laila Feeder","9","Baldia",0,15887889.6,9268091.67567263,411,2540,13,2965,0.416656843104409,0.138617200674536,0.856661045531197,0.00438448566610455
"87","Alladin Park","18","Gulshan-e-Iqbal",3,9078524.4,7868512.83990785,249,1628,3,1881,0.133282844962354,0.13237639553429,0.865497076023392,0.00159489633173844
"88","Allama Iqbal School (5 Star)","48","F.B Area",3,3006901.62828729,2144169.81856885,90,237,2,330,0.286917204607669,0.272727272727273,0.718181818181818,0.00606060606060606
"89","Allience Arcade","77","Johar-I",2,13784639.2,11938012.7471307,1394,2540,1,3936,0.133962625069598,0.354166666666667,0.645325203252033,0.000254065040650407
"90","Alpha Brothers","50","KIMZ",2,12454489.8,11224054.8431307,67,0,50,118,0.0987944891061922,0.567796610169492,0,0.423728813559322
"91","Ambaji Villa RMU","14","Garden",5,9502472,6998481.2499674,2166,2335,21,4523,0.263509405766478,0.478885695334955,0.516250276365244,0.00464293610435552
"92","Ambala Sweet RMU","25","Tipu Sultan",5,836497.2,732880,473,1195,22,1691,0.123870348878634,0.279716144293318,0.706682436428149,0.013010053222945
"93","Amber Cinema","6","Bahadurabad",5,7909149.6,6489701.93,351,243,5,600,0.17946906327325,0.585,0.405,0.00833333333333333
"94","Amber Garments","29","Malir",2,15956555.6,8333510.10656258,140,1201,2,1344,0.477737532117359,0.104166666666667,0.89360119047619,0.00148809523809524
"95","Ambreli Wala","41","SITE",0,17737656.8,17550301.212,42,0,37,80,0.0105625895298639,0.525,0,0.4625
"96","Amin Mazda","41","Baldia",0,11097152,6870650.71778785,258,2046,5,2310,0.380863601959508,0.111688311688312,0.885714285714286,0.00216450216450216
"97","Aminabad","76","Bahadurabad",5,8202867.2,5513044.86,67,1215,15,1298,0.327912457244218,0.051617873651772,0.936055469953775,0.0115562403697997
"98","Amjad Ali Wells","73","Shah Faisal",2,12427608.8846774,8836600.93013072,538,2922,5,3466,0.288954052856799,0.155222158107328,0.843046739757646,0.00144258511252164
"99","Amma Tower","14","Saddar",4,2609246.2,2361765.4985,921,105,0,1027,0.0948475852911082,0.896786757546251,0.102239532619279,0
"100","Amsons","41","SITE",0,1467787.18,1542357.5,25,2,36,64,-0.0508045859890944,0.390625,0.03125,0.5625
"101","Ana Crown","33","Lyari-II",0,12393815.7388667,9555611.557332,1625,3263,40,4929,0.229001644153393,0.329681476973017,0.662000405761818,0.00811523635625888
"102","Anarkali","46","Surjani",3,15787673.1,9914743.238,358,2218,4,2581,0.37199464574675,0.138705927934909,0.859356838434715,0.00154978690430066
"103","Ancholi Society","12","F.B Area",3,15946862.8,13612872.1600784,621,2087,45,2754,0.146360489156629,0.225490196078431,0.757806826434277,0.0163398692810458
"104","Anglow School","75","F.B Area",3,6744751.2,4931559.54715927,274,2448,34,2757,0.26883002783568,0.0993833877402974,0.887921653971708,0.0123322451940515
"105","Anum Classics","25","Tipu Sultan",5,13427836.4,11074260.3852712,703,1046,5,1755,0.175275892900273,0.400569800569801,0.596011396011396,0.00284900284900285
"106","Anwer Ali","1","Clifton",4,3676016.8,4029127.9025,7,195,0,203,-0.0960580763667891,0.0344827586206897,0.960591133004926,0
"107","Aram Bagh","20","Saddar",4,14144835.88,11338920.939,3549,1567,67,5184,0.198370272006295,0.684606481481482,0.302276234567901,0.0129243827160494
"108","Arman CNG","31","North Karachi",3,3551467.2,3359677.001,99,2,106,208,0.0540030889205453,0.475961538461538,0.00961538461538462,0.509615384615385
"109","Army Flat Jacoblines Complex-2","20","Bahadurabad",5,10958930.4,9072373.31549279,501,2793,10,3305,0.172147920978421,0.151588502269289,0.845083207261725,0.00302571860816944
"110","Army House","3","Defence",4,12774212.3533333,11973123.3034058,335,163,0,499,0.0627114242169706,0.671342685370741,0.326653306613226,0
"111","Army Housing-5","6","Gulshan-e-Iqbal",3,1297513.8,1216421.50136991,21,287,0,309,0.0624982166895576,0.0679611650485437,0.928802588996764,0
"112","Army Housing-9","6","Gulshan-e-Iqbal",3,1297513.8,1216421.50136991,0,66,0,67,0.0624982166895576,0,0.985074626865672,0
"113","Army Housing Malir","29","Shah Faisal",2,3142723.6,2731908.21106536,0,183,0,184,0.130719541780461,0,0.994565217391304,0
"114","ARTR","40","SITE",0,14737822.38,14113747.7765698,23,0,17,41,0.0423451027797073,0.560975609756098,0,0.414634146341463
"115","Asghar Ali Shah","32","North Nazimabad",3,8372664,7341229.59415779,156,1402,6,1565,0.123190707980425,0.0996805111821086,0.895846645367412,0.00383386581469649
"116","Ashiana","1","Clifton",4,8627654.25729167,8223155.848,658,1103,0,1762,0.0468839382326669,0.373439273552781,0.625993189557321,0
"117","Ashraf & Co.","24","KIMZ",2,13055423.6,11430231.0255654,70,0,68,139,0.12448409367848,0.503597122302158,0,0.489208633093525
"118","Ashraf Nagar","32","Nazimabad",3,14125920.6,8585581.33846748,722,2726,9,3458,0.392210845467482,0.208791208791209,0.788316946211683,0.00260266049739734
"119","Asif & Zafar","18","Gulshan-e-Iqbal",3,15386668.68,13338558.2485258,213,910,2,1126,0.133109412704544,0.189165186500888,0.808170515097691,0.00177619893428064
"120","Asifabad D/Pmt","16","Shah Faisal",2,5491393.26,4093948.28606536,176,1740,0,1917,0.254479129024287,0.0918101199791341,0.907668231611894,0
"121","Asim Ind","40","SITE",0,7209724.6,2006196,156,1037,10,1204,0.721737498822077,0.129568106312292,0.861295681063123,0.00830564784053156
"122","Asio African","40","SITE",0,13623605.4,9225655.378,1245,1162,99,2507,0.322818365100328,0.496609493418428,0.4635021938572,0.039489429597128
"123","Askari-3","18","Johar-I",2,2664117,2449725.22813072,22,512,0,535,0.0804738575180002,0.0411214953271028,0.957009345794393,0
"124","Askari-5","18","Johar-I",2,11113154.2,10199554.9685654,6,823,0,830,0.0822088144367366,0.0072289156626506,0.991566265060241,0
"125","Askari-III","1","Saddar",4,7165230.6,6242434.9995,84,541,0,626,0.128787983529797,0.134185303514377,0.864217252396166,0
"126","Askari - 9","77","Johar-I",2,3898669.6,3579359.84613072,0,468,0,469,0.0819022350263491,0,0.997867803837953,0
"127","Asma Begum RMU","3","Defence",4,10460877.24,9834328.14268225,54,1203,0,1258,0.059894508170115,0.0429252782193959,0.956279809220986,0
"128","Asphalt Plant","22","Gadap",2,1384078.4,1188525.12213071,10,20,0,31,0.141287717422138,0.32258064516129,0.645161290322581,0
"129","Asphalt Plant (K.T)","24","Korangi",2,11529990.58,5323026.20048005,204,1149,5,1359,0.538332129280886,0.150110375275938,0.845474613686534,0.00367917586460633
"130","Assembly Bulding","11","Saddar",4,1381365.92,1190491.54,9,50,0,60,0.138177999932125,0.15,0.833333333333333,0
"131","Associated Glass","24","KIMZ",2,5075770.3,5069249.48556536,80,0,48,129,0.0012846945486562,0.62015503875969,0,0.372093023255814
"132","Atlas Autos","26","Landhi",2,2229380,1591994.87252782,32,546,4,583,0.285902415681572,0.0548885077186964,0.936535162950257,0.00686106346483705
"133","Atlas Battery","40","SITE",0,7617374,6703503.9,154,1,16,172,0.119971803931381,0.895348837209302,0.00581395348837209,0.0930232558139535
"134","Atma Ram Pritam Das","28","Lyari-I",0,16482923.56755,10410098.8887364,449,2149,12,2611,0.368431283074636,0.171964764458062,0.823056300268097,0.00459594025277671
"135","Aurangabad (Old Fine Textile)","40","Nazimabad",3,17313269.6,8973843.3587726,647,3227,20,3895,0.481678298432284,0.166110397946085,0.828498074454429,0.00513478818998716
"136","Avenue Center","38","Saddar",4,9326424.8,8948542.638,2173,201,0,2375,0.040517365453909,0.914947368421053,0.0846315789473684,0
"137","Awami Autos","42","Lyari-I",0,14016247.8,13836278.7,9,0,10,20,0.0128400341209721,0.45,0,0.5
"138","Awan House RMU","4","Clifton",4,11844448,7310046.979,457,841,6,1305,0.382829239572837,0.350191570881226,0.644444444444444,0.00459770114942529
"139","Ayub Manzil","48","F.B Area",3,17235590.24,13216891.810692,476,2921,11,3409,0.233162797058231,0.139630390143737,0.856849515987093,0.00322675271340569
"140","Azad Friend","41","SITE",0,13276145.36,12873077.726,76,3,44,124,0.0303602908126037,0.612903225806452,0.0241935483870968,0.354838709677419
"141","Azeem Garden","17","Johar-I",2,10578344.4,9332244.71106536,201,1717,0,1919,0.117797231950081,0.104742053152684,0.894736842105263,0
"142","Azeem Khan Park","18","Gulshan-e-Iqbal",3,12016595.8,10122518.5780011,402,2906,1,3310,0.157621780204917,0.121450151057402,0.877945619335347,0.000302114803625378
"143","Aziz Baloch RMU","30","Baldia",0,11485782.88,6542777.25773333,274,1782,5,2062,0.430358615856638,0.132880698351115,0.864209505334627,0.00242483026188167
"144","Aziz Bhatti","18","Gulshan-e-Iqbal",3,7886276.8,6656571.03422071,659,685,1,1346,0.155929825564744,0.489598811292719,0.508915304606241,0.000742942050520059
"145","Aziz Industries","48","F.B Area",3,8062161.60941176,7649904.28636194,56,176,39,272,0.0511348374074466,0.205882352941176,0.647058823529412,0.143382352941176
"146","Bab-ul-Ilm","32","North Nazimabad",3,10490463.6742482,6203167.1435,198,1002,9,1210,0.408685131932976,0.163636363636364,0.828099173553719,0.00743801652892562
"147","Baba Wilayat","73","Shah Faisal",2,19938895.5153226,13306316.8181307,290,2041,6,2338,0.33264524066014,0.124037639007699,0.872968349016253,0.00256629597946963
"148","Babar Ground PECHS-N","20","Bahadurabad",5,15211820.89,13700672.86,1005,2085,12,3103,0.0993403775213658,0.323880116016758,0.671930389945214,0.00386722526587174
"149","Badar Commercial RMU","3","Defence",4,6532462.4,6008495.47115051,948,967,0,1916,0.0802097121675723,0.494780793319415,0.504697286012526,0
"150","Bagh-e-Malir","73","Malir",2,14802499.2,7209040.54424339,427,2325,8,2761,0.512984905667592,0.15465411082941,0.842086200651938,0.00289750090546903
"151","Baghdadi Masjid","76","Bahadurabad",5,12101810.4,9728875.86,697,3675,20,4393,0.196080954961912,0.158661506942864,0.836558160710221,0.0045526974732529
"152","Bahadur Yar Jung RMU","76","Garden",5,9290020,8513351.08855088,167,1159,1,1328,0.0836025015499555,0.125753012048193,0.872740963855422,0.000753012048192771
"153","Bahawalpur Flour + Cap","9","Baldia",0,10174252,6228395.13534658,441,1355,8,1805,0.387827711035014,0.244321329639889,0.750692520775623,0.00443213296398892
"154","Bakhshi Square","75","Liaquatabad",3,8951861.6,7288777.4491816,639,3210,7,3857,0.185780815782317,0.165672802696396,0.832253046409126,0.00181488203266788
"155","Baloch Center","25","Tipu Sultan",5,7386786,5743062.86951357,121,669,1,792,0.222522099663701,0.152777777777778,0.84469696969697,0.00126262626262626
"156","Balochistan Foundary","19","Uthal",0,15373657.2,4008806,53,1085,1,1140,0.739241876682407,0.0464912280701754,0.951754385964912,0.00087719298245614
"157","Balochistan Poly Product","19","Uthal",0,5451100.6,4606940.5,70,337,0,408,0.154860488173709,0.17156862745098,0.825980392156863,0
"158","Balouch Hotel","76","Liaquatabad",3,11144404.3,6417880.64250179,619,2788,43,3451,0.424116312569368,0.179368299043755,0.807881773399015,0.0124601564763837
"159","Bana Palace","75","F.B Area",3,16397436,12055371.3132391,84,847,1,933,0.264801441320514,0.090032154340836,0.907824222936763,0.00107181136120043
"160","Banaras Pumping","32","Orangi-I",0,9101932.5,3697236.5,621,1678,17,2317,0.593796537163948,0.268018990073371,0.724212343547691,0.0073370738023306
"161","Bandooqwala","14","Garden",5,16742970.2,13894212.9072813,1152,1770,70,2993,0.170146470948068,0.384898095556298,0.591379886401604,0.0233879051119278
"162","Bank Al-Falah RMU","66","Landhi",2,18167531.2,10662482.5802004,628,2718,33,3380,0.413102283253521,0.185798816568047,0.80414201183432,0.00976331360946745
"163","Bank Quarter","38","Saddar",4,8343552.8,6713918.006,0,0,0,1,0.195316651438941,0,0,0
"164","Baradari","6","Gulshan-e-Iqbal",3,13444827.45,12158890.4577077,467,2882,0,3350,0.0956454812882184,0.139402985074627,0.860298507462687,0
"165","Bareli Colony","16","Shah Faisal",2,8152416.2,3869131.87306536,153,1118,24,1296,0.525400595584735,0.118055555555556,0.862654320987654,0.0185185185185185
"166","Barkat Market","31","North Karachi",3,16223730.5472683,10573092.134,774,1949,55,2779,0.348294641408459,0.278517452320979,0.701331414177762,0.0197912918315941
"167","Barness Street","33","Lyari-II",0,6035958,6157844.76,93,68,50,212,-0.020193440709826,0.438679245283019,0.320754716981132,0.235849056603774
"168","Basera Tower","77","Johar-I",2,6630551.2,6191369.63513072,447,2698,0,3146,0.0662360566447753,0.142085187539733,0.857596948506039,0
"169","Bashir Chowk (Kali Market)","46","Surjani",3,17906697.6,6848984.1555,463,2407,11,2882,0.617518299102789,0.160652324774462,0.835183900069396,0.00381679389312977
"170","Bashir Tex","41","SITE",0,22031197.8,22198445.2,17,0,19,37,-0.00759138933426482,0.459459459459459,0,0.513513513513513
"171","Basra Soap","48","F.B Area",3,6709484.500834,4932580.73912648,152,804,0,957,0.264834617545752,0.158829676071055,0.84012539184953,0
"172","Batala Estate","20","Saddar",4,7161694.6875,6265961.35058225,429,245,0,675,0.125072818097253,0.635555555555556,0.362962962962963,0
"173","Bath Island","4","Clifton",4,6489428,6206663.142,1270,642,0,1913,0.043573155908348,0.663878724516466,0.335598536330371,0
"174","Batwa-3","75","Liaquatabad",3,12323854.4,7968696.76247529,395,2156,15,2567,0.353392493628025,0.153876119984418,0.83989092325672,0.00584339696143358
"175","Bawani Challi","40","SITE",0,11400178.42,10812747.248,37,51,38,127,0.0515282437132243,0.291338582677165,0.401574803149606,0.299212598425197
"176","Bazar-e-Faisal (N Ice)","27","Liaquatabad",3,14344462,12732948.860851,1554,3394,19,4968,0.112343923330757,0.31280193236715,0.68317230273752,0.00382447665056361
"177","Beach View","3","Defence",4,1087680,946172.086626963,173,385,0,559,0.130100685287067,0.309481216457961,0.688729874776386,0
"178","Behar Colony","33","Lyari-II",0,16064142.4,12339219.921,1565,4676,146,6388,0.23187807890697,0.244990607388854,0.731997495303694,0.0228553537883532
"179","Behar Pump","28","Lyari-II",0,6366048.688025,4255022.8168072,265,831,1,1098,0.33160693150035,0.241347905282332,0.756830601092896,0.000910746812386157
"180","Behria Complex-1","38","Saddar",4,7309786.4,16540121.4025,2,0,0,3,-1.26273662421928,0.666666666666667,0,0
"181","Bela Engineering","19","Uthal",0,11554906,3445300,297,1998,1,2297,0.701832277995165,0.12929908576404,0.869830213321724,0.00043535045711798
"182","Bengal Oil","33","Lyari-I",0,15024176.196576,11576750.4885,1971,3890,17,5879,0.229458551535203,0.335261098826331,0.661677155978908,0.00289164823949651
"183","Beverages","40","SITE",0,14802391.27,13873752.391,370,65,64,500,0.0627357338460625,0.74,0.13,0.128
"184","BFC Center","11","Saddar",4,6164121.92,6156621.196,144,0,0,145,0.00121683576304076,0.993103448275862,0,0
"185","Bhittaiabad","17","Johar-II",2,18138800.8,8687953.36213072,588,4791,2,5382,0.521029341579697,0.109253065774805,0.890189520624303,0.000371609067261241
